,pop_mean,pop_sem,eps_mean,eps_sem,het_mean,het_sem,p_het_1,p_het_0,p_pop0,s_wt_mean,s_wt_sem,s_mt_mean,s_mt_sem,a_wt_mean,a_wt_sem,a_mt_mean,a_mt_sem
107,725.88,6.4,347.25,1.88,0.5009,0.0058,0.1984,0.2762,0.0122,110.24,1.28,252.41,3.94,110.8,1.28,252.43,3.94
108,726.83,6.44,346.66,1.88,0.5011,0.0058,0.2006,0.2788,0.0122,109.95,1.28,253.83,3.96,109.99,1.28,253.06,3.95
109,728.56,6.48,346.78,1.89,0.501,0.0059,0.2038,0.2816,0.0126,109.87,1.29,254.75,3.99,109.65,1.28,254.3,3.98
110,730.12,6.53,345.86,1.89,0.5014,0.0059,0.2064,0.2834,0.013,108.89,1.29,256.6,4.01,108.88,1.28,255.75,4.0
111,731.84,6.55,346.22,1.88,0.5016,0.0059,0.2094,0.2858,0.0134,108.72,1.29,257.32,4.03,108.96,1.29,256.84,4.02
112,734.28,6.59,346.34,1.89,0.5025,0.0059,0.212,0.2886,0.0142,108.52,1.3,258.99,4.05,108.51,1.28,258.25,4.04
113,737.69,6.66,346.86,1.9,0.5027,0.0059,0.215,0.2912,0.0144,108.08,1.3,260.69,4.08,108.49,1.29,260.43,4.07
114,739.31,6.67,347.07,1.91,0.5032,0.0059,0.2174,0.2942,0.0152,108.04,1.3,261.5,4.09,108.28,1.3,261.49,4.09
115,740.82,6.7,346.82,1.9,0.5035,0.0059,0.2216,0.2968,0.0156,107.71,1.3,262.85,4.11,107.78,1.3,262.49,4.09
116,742.66,6.73,347.15,1.9,0.5029,0.006,0.2234,0.2994,0.0156,107.76,1.3,263.88,4.13,107.56,1.29,263.46,4.12
117,744.62,6.75,347.4,1.9,0.5033,0.006,0.226,0.3016,0.0158,107.27,1.3,265.04,4.15,107.73,1.3,264.58,4.13
118,746.33,6.77,347.53,1.9,0.5036,0.006,0.2276,0.3042,0.0162,107.36,1.31,266.13,4.16,107.24,1.3,265.59,4.15
119,747.3,6.77,348.04,1.92,0.5038,0.006,0.2298,0.3056,0.0166,107.61,1.31,266.06,4.15,107.35,1.31,266.28,4.16
120,748.27,6.8,347.83,1.92,0.5039,0.006,0.2324,0.3072,0.0174,107.24,1.31,266.99,4.17,107.1,1.31,266.93,4.17
121,749.78,6.82,348.02,1.91,0.5038,0.006,0.2348,0.308,0.018,107.09,1.31,267.86,4.19,107.01,1.31,267.81,4.18
122,750.07,6.85,347.23,1.9,0.5033,0.006,0.2356,0.309,0.0182,106.55,1.31,268.87,4.2,106.39,1.3,268.26,4.19
123,752.04,6.9,347.56,1.91,0.5023,0.006,0.2376,0.3092,0.0184,106.18,1.31,269.58,4.22,106.55,1.31,269.73,4.22
124,753.07,6.91,347.58,1.91,0.5022,0.0061,0.24,0.3114,0.0186,106.2,1.32,270.24,4.23,106.21,1.31,270.42,4.23
125,756.04,6.95,348.21,1.91,0.5025,0.0061,0.242,0.3134,0.019,106.17,1.32,272.18,4.26,106.09,1.31,271.6,4.25
126,757.05,6.98,347.91,1.91,0.5027,0.0061,0.2446,0.3156,0.0192,105.67,1.32,272.48,4.28,105.87,1.31,273.03,4.28
127,756.62,7.02,346.48,1.9,0.5028,0.0061,0.246,0.317,0.0194,104.44,1.31,273.5,4.3,105.33,1.31,273.34,4.29
128,759.05,7.04,347.12,1.9,0.5027,0.0061,0.2476,0.318,0.02,104.95,1.32,274.85,4.31,104.87,1.31,274.39,4.31
129,761.41,7.08,347.4,1.9,0.5028,0.0061,0.2498,0.3202,0.02,104.78,1.32,276.28,4.34,104.61,1.31,275.74,4.33
130,763.28,7.13,347.17,1.89,0.5031,0.0061,0.2514,0.323,0.0204,104.16,1.31,277.44,4.36,104.31,1.31,277.38,4.35
131,764.46,7.17,346.68,1.89,0.5035,0.0061,0.2528,0.324,0.0208,103.58,1.31,278.87,4.39,103.83,1.31,278.17,4.37
132,764.19,7.18,346.05,1.89,0.5032,0.0062,0.2558,0.3262,0.0212,103.38,1.31,279.15,4.39,103.28,1.3,278.37,4.37
133,766.76,7.22,346.89,1.91,0.5027,0.0062,0.2566,0.3272,0.0214,103.44,1.32,279.95,4.42,103.49,1.31,279.87,4.4
134,768.86,7.26,346.78,1.91,0.5033,0.0062,0.2582,0.3288,0.0216,103.01,1.32,281.87,4.44,103.07,1.31,280.91,4.42
135,771.51,7.31,347.18,1.91,0.5035,0.0062,0.2614,0.3304,0.022,102.97,1.32,282.98,4.46,102.76,1.31,282.8,4.45
136,773.05,7.37,346.65,1.91,0.5035,0.0062,0.265,0.332,0.022,102.22,1.31,284.47,4.49,102.29,1.31,284.07,4.48
137,773.49,7.41,345.85,1.9,0.5038,0.0062,0.2664,0.3342,0.0222,101.24,1.3,285.26,4.51,102.05,1.3,284.94,4.5
138,773.09,7.42,345.24,1.9,0.504,0.0062,0.2694,0.336,0.0222,101.46,1.31,285.03,4.5,101.17,1.3,285.43,4.51
139,773.53,7.42,345.16,1.91,0.504,0.0062,0.271,0.3368,0.0228,101.07,1.31,285.43,4.51,101.3,1.31,285.74,4.51
140,773.98,7.43,344.94,1.91,0.5038,0.0062,0.272,0.3382,0.0232,100.78,1.31,286.22,4.52,101.14,1.31,285.83,4.51
141,775.42,7.43,345.31,1.91,0.5037,0.0062,0.2746,0.3388,0.0232,100.98,1.32,287.09,4.53,100.97,1.31,286.38,4.52
142,776.82,7.46,345.33,1.92,0.5039,0.0063,0.2764,0.34,0.0234,100.56,1.32,287.78,4.54,100.94,1.32,287.54,4.54
143,777.01,7.49,344.39,1.92,0.5039,0.0063,0.2784,0.342,0.0242,99.84,1.32,288.41,4.55,100.34,1.32,288.41,4.55
144,777.9,7.52,344.17,1.92,0.5034,0.0063,0.2792,0.3428,0.0244,99.88,1.32,289.44,4.57,99.72,1.31,288.86,4.56
145,778.82,7.52,344.75,1.93,0.5028,0.0063,0.2814,0.3448,0.0246,99.97,1.33,289.66,4.58,100.09,1.32,289.1,4.57
146,779.62,7.54,344.46,1.93,0.5039,0.0063,0.2834,0.347,0.0252,99.57,1.33,290.24,4.59,99.83,1.32,289.97,4.58
147,780.17,7.54,344.36,1.94,0.5041,0.0063,0.2844,0.3478,0.0256,99.45,1.33,290.42,4.58,99.63,1.33,290.67,4.58
148,780.75,7.55,343.87,1.93,0.5047,0.0063,0.2866,0.3488,0.026,99.23,1.33,291.3,4.6,99.01,1.33,291.21,4.59
149,779.77,7.56,343.13,1.93,0.505,0.0063,0.2886,0.3494,0.0268,98.64,1.33,290.96,4.6,98.94,1.33,291.23,4.59
150,781.66,7.58,343.51,1.94,0.5048,0.0063,0.291,0.3512,0.0268,98.54,1.33,292.33,4.61,98.92,1.33,291.86,4.6
151,785.15,7.6,344.78,1.95,0.505,0.0064,0.2928,0.352,0.027,98.99,1.34,294.26,4.63,99.0,1.34,292.9,4.61
152,786.94,7.62,345.18,1.95,0.5055,0.0064,0.294,0.3528,0.0274,98.97,1.35,294.47,4.63,98.96,1.34,294.55,4.63
153,786.13,7.62,344.3,1.92,0.5053,0.0064,0.2956,0.354,0.0274,98.53,1.33,294.48,4.64,98.5,1.33,294.62,4.64
154,787.65,7.66,344.49,1.93,0.5055,0.0064,0.2972,0.355,0.0276,98.49,1.34,295.36,4.66,98.28,1.33,295.52,4.65
155,788.81,7.67,344.36,1.93,0.5061,0.0064,0.2992,0.3554,0.028,98.06,1.34,296.24,4.66,98.16,1.33,296.36,4.66
156,789.38,7.69,343.53,1.92,0.5067,0.0064,0.3006,0.357,0.0284,97.1,1.33,297.19,4.67,97.82,1.33,297.27,4.67
157,792.84,7.75,344.31,1.92,0.5067,0.0064,0.3018,0.3582,0.0286,97.38,1.33,299.03,4.7,97.43,1.33,299.0,4.7
158,793.99,7.75,344.59,1.92,0.5067,0.0064,0.303,0.3592,0.0288,97.26,1.33,299.62,4.71,97.53,1.33,299.59,4.71
159,795.19,7.77,344.95,1.94,0.5062,0.0064,0.3042,0.3604,0.029,97.4,1.34,300.3,4.72,97.46,1.34,300.02,4.71
160,794.89,7.78,344.23,1.94,0.5063,0.0064,0.306,0.3614,0.029,96.89,1.34,300.3,4.72,97.11,1.34,300.59,4.73
161,794.69,7.78,343.88,1.93,0.5064,0.0064,0.3072,0.3624,0.0292,96.81,1.34,300.87,4.73,96.8,1.33,300.21,4.71
162,796.02,7.79,344.1,1.93,0.5064,0.0064,0.31,0.3636,0.0294,96.64,1.34,301.32,4.73,96.82,1.34,301.24,4.73
163,798.88,7.81,345.07,1.94,0.5071,0.0065,0.3114,0.3634,0.0306,96.97,1.35,302.76,4.75,96.83,1.34,302.31,4.74
164,800.99,7.83,345.76,1.95,0.5071,0.0065,0.3128,0.3642,0.031,97.08,1.36,303.46,4.76,96.94,1.35,303.52,4.76
165,802.25,7.87,345.48,1.95,0.5077,0.0065,0.3144,0.3644,0.0322,96.52,1.35,304.84,4.79,96.7,1.35,304.19,4.77
166,802.51,7.87,345.26,1.95,0.508,0.0065,0.3148,0.3654,0.0324,96.32,1.35,304.96,4.78,96.52,1.35,304.7,4.78
167,805.16,7.91,345.79,1.95,0.5083,0.0065,0.3168,0.3658,0.0328,96.25,1.35,306.07,4.8,96.42,1.35,306.42,4.8
168,806.38,7.92,346.23,1.95,0.508,0.0065,0.3192,0.3674,0.033,96.37,1.36,307.02,4.82,96.47,1.35,306.52,4.81
169,807.72,7.98,345.93,1.96,0.5078,0.0065,0.3206,0.3682,0.0332,95.91,1.35,307.96,4.84,96.08,1.35,307.77,4.83
170,809.15,7.99,346.47,1.96,0.5078,0.0065,0.3228,0.3688,0.0334,96.17,1.36,308.49,4.85,96.08,1.35,308.41,4.85
171,809.57,8.0,346.51,1.95,0.5078,0.0065,0.3246,0.3698,0.0338,96.1,1.36,308.89,4.86,96.06,1.35,308.52,4.85
172,810.77,8.02,346.8,1.96,0.5083,0.0065,0.326,0.3702,0.0346,96.14,1.36,309.39,4.87,95.99,1.36,309.23,4.86
173,810.23,8.01,346.12,1.95,0.5086,0.0065,0.3274,0.371,0.035,95.65,1.36,309.3,4.87,95.77,1.36,309.5,4.87
174,809.06,8.01,345.02,1.95,0.5086,0.0065,0.3278,0.3714,0.035,95.02,1.36,308.92,4.86,95.32,1.36,309.8,4.87
175,809.73,8.01,345.41,1.96,0.5086,0.0066,0.3288,0.3714,0.0356,95.64,1.37,309.64,4.87,94.99,1.35,309.46,4.86
176,810.92,8.03,345.57,1.97,0.5086,0.0066,0.3308,0.372,0.0362,94.84,1.36,310.18,4.88,95.61,1.37,310.29,4.87
177,810.94,8.04,344.95,1.96,0.5088,0.0066,0.332,0.3724,0.0366,94.53,1.36,310.72,4.88,95.1,1.36,310.6,4.88
178,812.88,8.06,345.5,1.96,0.5086,0.0066,0.3336,0.3738,0.0366,95.12,1.37,311.84,4.9,94.59,1.36,311.33,4.89
179,814.64,8.08,345.68,1.96,0.5086,0.0066,0.3356,0.3746,0.0366,94.64,1.36,313.49,4.92,94.73,1.36,311.78,4.89
180,817.06,8.11,346.35,1.97,0.5086,0.0066,0.337,0.3756,0.0366,94.7,1.37,313.95,4.92,94.74,1.37,313.66,4.92
